game_id,team,opponent,off_epa,off_plays,off_epa_per_play,def_epa,def_plays,def_epa_per_play,season
2003_02_WAS_ATL,WAS,ATL,2.13768,76,0.028127369127775494,-10.080417,61,-0.16525273244889055,2003
2003_03_BAL_SD,BAL,LAC,7.229239,54,0.13387479605498137,-3.1917586,76,-0.04199682411394621,2003
2003_03_BAL_SD,LAC,BAL,-3.1917586,76,-0.04199682411394621,7.229239,54,0.13387479605498137,2003
2003_03_BUF_MIA,BUF,MIA,-23.62679,42,-0.5625425974527994,-15.630333,73,-0.214114149955854,2003
2003_03_BUF_MIA,MIA,BUF,-15.630333,73,-0.214114149955854,-23.62679,42,-0.5625425974527994,2003
2003_03_CLE_SF,CLE,SF,3.0788636,61,0.05047317411078781,-7.12755,60,-0.11879250208536783,2003
2003_03_CLE_SF,SF,CLE,-7.12755,60,-0.11879250208536783,3.0788636,61,0.05047317411078781,2003
2003_03_GB_ARI,ARI,GB,6.575817,60,0.10959695180257162,1.1506679,56,0.02054764117513384,2003
2003_03_GB_ARI,GB,ARI,1.1506679,56,0.02054764117513384,6.575817,60,0.10959695180257162,2003
2003_03_JAX_IND,IND,JAX,-0.9501238,60,-0.015835396448771157,-2.1343033,55,-0.03880551511591131,2003
2003_03_JAX_IND,JAX,IND,-2.1343033,55,-0.03880551511591131,-0.9501238,60,-0.015835396448771157,2003
2003_03_KC_HOU,HOU,KC,-13.736989,65,-0.21133829263540416,10.59386,64,0.1655290573835373,2003
2003_03_KC_HOU,KC,HOU,10.59386,64,0.1655290573835373,-13.736989,65,-0.21133829263540416,2003
2003_03_MIN_DET,DET,MIN,-13.961953,70,-0.19945647375924247,13.563032,55,0.24660058455033737,2003
2003_03_MIN_DET,MIN,DET,13.563032,55,0.24660058455033737,-13.961953,70,-0.19945647375924247,2003
2003_03_NO_TEN,NO,TEN,-6.229681,39,-0.15973541064140123,14.0608425,70,0.20086917877197266,2003
2003_03_NO_TEN,TEN,NO,14.0608425,70,0.20086917877197266,-6.229681,39,-0.15973541064140123,2003
2003_03_NYG_WAS,NYG,WAS,13.113175,69,0.1900460201760997,11.9271345,70,0.170387635912214,2003
2003_03_NYG_WAS,WAS,NYG,11.9271345,70,0.170387635912214,13.113175,69,0.1900460201760997,2003
2003_03_NYJ_NE,NE,NYJ,-7.7332115,65,-0.1189724848820613,-10.733969,61,-0.17596670056952804,2003
2003_03_NYJ_NE,NYJ,NE,-10.733969,61,-0.17596670056952804,-7.7332115,65,-0.1189724848820613,2003
2003_03_OAK_DEN,DEN,LV,10.605373,60,0.176756223042806,-14.515799,56,-0.2592106887272426,2003
2003_03_OAK_DEN,LV,DEN,-14.515799,56,-0.2592106887272426,10.605373,60,0.176756223042806,2003
2003_03_PIT_CIN,CIN,PIT,-6.799693,44,-0.154538479718295,10.752265,72,0.14933701356252035,2003
2003_03_PIT_CIN,PIT,CIN,10.752265,72,0.14933701356252035,-6.799693,44,-0.154538479718295,2003
2003_03_STL_SEA,LA,SEA,2.442561,61,0.04004198215046867,-2.3556504,64,-0.03680703788995743,2003
2003_03_STL_SEA,SEA,LA,-2.3556504,64,-0.03680703788995743,2.442561,61,0.04004198215046867,2003
2003_03_TB_ATL,ATL,TB,-23.849934,52,-0.45865256969745344,0.5438994,59,0.009218634185144457,2003
2003_03_TB_ATL,TB,ATL,0.5438994,59,0.009218634185144457,-23.849934,52,-0.45865256969745344,2003
2003_04_ARI_STL,ARI,LA,-15.045187,37,-0.40662667557999893,16.942665,84,0.20169839404878162,2003
2003_04_ARI_STL,LA,ARI,16.942665,84,0.20169839404878162,-15.045187,37,-0.40662667557999893,2003
2003_04_ATL_CAR,ATL,CAR,-8.98119,52,-0.1727151870727539,2.872755,64,0.04488679766654968,2003
2003_04_ATL_CAR,CAR,ATL,2.872755,64,0.04488679766654968,-8.98119,52,-0.1727151870727539,2003
2003_04_CIN_CLE,CIN,CLE,12.277312,58,0.21167779790944066,1.4683079,60,0.024471797545750937,2003
2003_04_CIN_CLE,CLE,CIN,1.4683079,60,0.024471797545750937,12.277312,58,0.21167779790944066,2003
2003_04_DAL_NYJ,DAL,NYJ,7.812886,63,0.12401406727139912,-10.902479,54,-0.20189776243986907,2003
2003_04_DAL_NYJ,NYJ,DAL,-10.902479,54,-0.20189776243986907,7.812886,63,0.12401406727139912,2003
2003_04_DET_DEN,DEN,DET,3.6823113,58,0.06348812580108643,1.489905,58,0.025688017236775364,2003
2003_04_DET_DEN,DET,DEN,1.489905,58,0.025688017236775364,3.6823113,58,0.06348812580108643,2003
2003_04_GB_CHI,CHI,GB,-4.666935,75,-0.06222579956054688,16.378344,55,0.29778806513006034,2003
2003_04_GB_CHI,GB,CHI,16.378344,55,0.29778806513006034,-4.666935,75,-0.06222579956054688,2003
